Galois Field:
  name: GF(3^2)
  characteristic: 3
  degree: 2
  order: 9
  irreducible_poly: x^2 + 2x + 2
  is_primitive_poly: True
  primitive_element: x

x + y | 0  1  2  3  4  5  6  7  8 
------|---------------------------
    0 | 0  1  2  3  4  5  6  7  8 
    1 | 1  2  0  4  5  3  7  8  6 
    2 | 2  0  1  5  3  4  8  6  7 
    3 | 3  4  5  6  7  8  0  1  2 
    4 | 4  5  3  7  8  6  1  2  0 
    5 | 5  3  4  8  6  7  2  0  1 
    6 | 6  7  8  0  1  2  3  4  5 
    7 | 7  8  6  1  2  0  4  5  3 
    8 | 8  6  7  2  0  1  5  3  4 

x * y | 0  1  2  3  4  5  6  7  8 
------|---------------------------
    0 | 0  0  0  0  0  0  0  0  0 
    1 | 0  1  2  3  4  5  6  7  8 
    2 | 0  2  1  6  8  7  3  5  4 
    3 | 0  3  6  4  7  1  8  2  5 
    4 | 0  4  8  7  2  3  5  6  1 
    5 | 0  5  7  1  3  8  2  4  6 
    6 | 0  6  3  8  5  2  4  1  7 
    7 | 0  7  5  2  6  4  1  8  3 
    8 | 0  8  4  5  1  6  7  3  2 
